"PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN"
"T2M,2015,26,76.875,14.24,19.44,22.81,28.97,35.63,35.27,30.18,28.33,28.17,27.09,22.95,17.24,25.86"
"T2M,2015,26,77.5,13.77,18.95,22.21,28.55,35.03,35.06,29.53,28.19,27.98,26.71,23.17,17.09,25.52"
"T2M,2015,26,78.125,13.98,19.32,22.67,28.66,35.27,35.71,30.22,28.62,28.65,27.2,23.25,17.01,25.88"
"T2M,2015,26,78.75,14.33,19.67,23.01,29.1,35.51,36.43,30.65,29.16,28.89,27.35,23.54,16.98,26.22"
"T2M,2015,26,79.375,14.53,19.99,23.24,29.71,36.04,36.83,31.08,30.07,29.76,27.82,23.93,17.33,26.69"
"T2M,2015,26,80,14.76,20.33,23.5,30.04,36.35,37.17,31.53,31.1,30.71,28.15,24.32,17.54,27.12"
"T2M,2015,26.5,76.875,13.62,18.9,22.16,28.38,35.36,35.45,30.45,29.19,29.08,27.2,22.67,16.79,25.77"
"T2M,2015,26.5,77.5,13.78,19.07,22.59,28.65,35.29,36.19,30.78,29.51,29.26,27.17,22.82,16.6,25.98"
"T2M,2015,26.5,78.125,13.86,19.27,22.74,28.8,35.45,36.5,31.22,29.89,29.77,27.6,23.07,16.84,26.25"
"T2M,2015,26.5,78.75,14.04,19.42,22.82,29.01,35.51,36.67,31.13,30.03,29.72,27.51,23.14,16.65,26.3"
"T2M,2015,26.5,79.375,14.25,19.62,23.02,29.3,35.83,36.88,31.36,30.61,30.14,27.62,23.37,16.85,26.57"
"T2M,2015,26.5,80,14.44,19.86,23.16,29.53,36.12,37.12,31.62,31.37,30.85,27.96,23.93,17.13,26.92"
"T2M,2015,27,76.875,13.49,18.82,22.28,28.31,35.29,35.76,31.51,30.38,29.97,27.53,22.45,16.65,26.04"
"T2M,2015,27,77.5,13.35,18.8,22.4,28.51,35.22,36.32,31.92,30.71,29.98,27.4,22.47,16.32,26.12"
"T2M,2015,27,78.125,13.53,19.09,22.57,28.78,35.46,36.54,32.13,30.82,30.27,27.71,22.83,16.68,26.37"
"T2M,2015,27,78.75,13.71,19.23,22.68,28.89,35.46,36.59,31.72,30.63,30.07,27.57,22.92,16.67,26.35"
"T2M,2015,27,79.375,13.93,19.36,22.74,28.99,35.7,36.68,31.26,30.66,30.14,27.49,23.1,16.86,26.41"
"T2M,2015,27,80,14.15,19.58,22.83,29.08,35.86,36.9,31.1,30.88,30.49,27.66,23.57,17.02,26.59"
"T2M,2015,27.5,76.875,13.21,18.52,21.93,28.09,35.24,35.48,31.7,30.6,30.01,27.46,22.2,16.36,25.9"
"T2M,2015,27.5,77.5,13.14,18.68,22.23,28.44,35.33,36.21,32.16,30.93,30.17,27.38,22.25,16.3,26.1"
"T2M,2015,27.5,78.125,13.13,18.92,22.23,28.59,35.47,36.27,32.12,30.76,30.28,27.63,22.61,16.53,26.21"
"T2M,2015,27.5,78.75,13.31,19.01,22.33,28.62,35.4,36.34,31.5,30.42,29.9,27.21,22.58,16.56,26.1"
"T2M,2015,27.5,79.375,13.59,19.18,22.42,28.65,35.54,36.41,30.6,29.9,29.52,26.94,22.61,16.61,26"
"T2M,2015,27.5,80,13.83,19.31,22.52,28.63,35.5,36.46,30.29,29.63,29.37,26.97,22.95,16.73,26.02"
"T2M,2015,28,76.875,12.77,18.15,21.48,27.85,35.1,35.02,31.36,30.29,29.55,27.14,21.87,15.92,25.54"
"T2M,2015,28,77.5,12.83,18.35,21.82,28.21,35.3,35.71,31.38,30.28,29.71,26.92,21.88,16.01,25.7"
"T2M,2015,28,78.125,12.76,18.62,21.8,28.35,35.41,35.8,31.45,30.15,29.92,27.06,22.24,16.29,25.82"
"T2M,2015,28,78.75,13.02,18.82,21.97,28.4,35.32,36,30.58,29.54,29.16,26.61,22.08,16.28,25.65"
"T2M,2015,28,79.375,13.33,18.99,22.04,28.39,35.25,36,29.8,28.97,28.01,26.11,22.06,16.17,25.43"
"T2M,2015,28,80,13.78,19.17,22.22,28.38,35.11,35.89,29.69,28.96,27.85,26.17,22.34,16.5,25.5"
"T2M,2015,28.5,76.875,12.6,17.94,21.27,27.85,34.99,34.93,31.26,30.17,29.49,26.78,21.71,15.76,25.4"
"T2M,2015,28.5,77.5,12.64,18.09,21.32,27.98,35.15,35.24,30.76,29.58,29.17,26.41,21.58,15.9,25.32"
"T2M,2015,28.5,78.125,12.75,18.43,21.42,28.08,35.21,35.4,30.88,29.5,29.35,26.47,21.97,16.19,25.47"
"T2M,2015,28.5,78.75,13.02,18.67,21.62,28.14,34.97,35.58,30.15,28.93,28.38,25.97,21.72,15.97,25.26"
"T2M,2015,28.5,79.375,13.31,18.88,21.76,28.16,34.84,35.56,29.56,28.62,27.52,25.56,21.82,15.93,25.13"
"T2M,2015,28.5,80,13.55,19.04,21.8,27.93,34.51,35.22,29.31,28.52,27.43,25.63,22.08,16.23,25.1"
"T2M,2015,29,76.875,12.42,17.58,20.94,27.69,34.75,34.98,31.05,29.94,29.24,26.37,21.33,15.51,25.15"
"T2M,2015,29,77.5,12.57,17.82,20.88,27.71,34.8,35.02,30.28,28.92,28.26,25.89,21.23,15.59,24.91"
"T2M,2015,29,78.125,12.67,18.26,21.12,27.75,34.79,35.23,30.56,28.99,28.56,25.98,21.65,15.78,25.11"
"T2M,2015,29,78.75,12.96,18.65,21.33,27.71,34.45,35.18,29.98,28.66,27.98,25.75,21.66,15.63,25"
"T2M,2015,29,79.375,13.5,18.8,21.29,27.22,33.71,34.41,28.9,27.88,27.22,25.31,21.62,15.98,24.65"
"T2M,2015,29,80,13.84,18.5,21.01,26.12,32.63,33.2,28.11,27.28,26.97,24.69,21.27,16.08,24.14"
"T2M,2016,26,76.875,17.8,20.54,27.4,32.7,36.66,36.19,29.67,27.39,27.05,25.07,20.83,18.39,26.64"
"T2M,2016,26,77.5,17.46,20.35,27.09,32.53,35.96,35.75,29.17,27.16,27.13,25.82,21.44,18.6,26.54"
"T2M,2016,26,78.125,17.54,20.67,27.44,33.05,36.58,36.41,29.74,27.57,27.26,25.84,21.3,17.95,26.78"
"T2M,2016,26,78.75,17.44,21.12,27.69,33.64,36.93,36.92,30.36,28.1,27.85,26.19,21.31,17.59,27.09"
"T2M,2016,26,79.375,17.69,21.39,27.59,33.97,37.17,37.02,30.33,28.48,28.08,25.82,20.92,17.21,27.14"
"T2M,2016,26,80,17.69,21.46,27.46,34.1,37.12,36.81,30.05,28.65,28.1,25.34,20.28,16.74,26.98"
"T2M,2016,26.5,76.875,17.12,19.79,26.89,32.4,36.31,36.29,30.01,27.52,27.28,26,21.11,18.42,26.6"
"T2M,2016,26.5,77.5,17.14,20.18,27.3,32.98,36.55,36.85,30.44,27.89,27.74,26.68,21.3,18.13,26.93"
"T2M,2016,26.5,78.125,17.27,20.59,27.46,33.26,36.84,37.09,30.52,28.18,27.86,26.54,21.2,17.76,27.05"
"T2M,2016,26.5,78.75,17.21,20.79,27.43,33.49,36.85,37.18,30.78,28.41,28.09,26.57,21.09,17.32,27.1"
"T2M,2016,26.5,79.375,17.36,20.98,27.32,33.63,36.89,37.06,30.62,28.62,28.24,26.5,20.95,16.92,27.09"
"T2M,2016,26.5,80,17.38,21.09,27.2,33.72,36.69,36.58,30.11,28.7,28.17,26.37,20.68,16.76,26.95"
"T2M,2016,27,76.875,16.93,19.53,26.54,32.47,36.35,36.79,30.59,27.87,27.83,26.74,21.57,18.32,26.79"
"T2M,2016,27,77.5,16.73,19.78,26.79,32.81,36.44,36.92,30.63,28.18,27.9,26.67,21.12,17.53,26.79"
"T2M,2016,27,78.125,16.89,20.24,27,33.17,36.66,37.24,30.64,28.43,28.01,26.67,21.03,17.41,26.95"
"T2M,2016,27,78.75,16.99,20.47,26.95,33.31,36.57,37.08,30.5,28.5,28.03,26.49,20.9,17.02,26.9"
"T2M,2016,27,79.375,17.1,20.59,26.9,33.39,36.47,36.95,30.27,28.65,28.22,26.53,20.88,16.94,26.91"
"T2M,2016,27,80,17.12,20.75,26.91,33.57,36.3,36.43,29.93,28.76,28.22,26.37,20.76,16.95,26.84"
"T2M,2016,27.5,76.875,16.4,19.04,25.81,32.24,36.19,36.78,30.75,28.14,28.39,26.81,21.46,18.23,26.69"
"T2M,2016,27.5,77.5,16.39,19.4,26.29,32.7,36.27,36.93,30.87,28.5,28.27,26.64,20.9,17.39,26.71"
"T2M,2016,27.5,78.125,16.56,19.78,26.42,32.83,36.34,37.07,30.64,28.52,27.98,26.48,20.78,17.25,26.72"
"T2M,2016,27.5,78.75,16.63,20.07,26.39,32.97,36.09,36.79,30.36,28.52,27.9,26.07,20.57,16.79,26.6"
"T2M,2016,27.5,79.375,16.66,20.34,26.44,33.18,35.82,36.65,30.07,28.62,27.94,25.59,20.35,16.47,26.51"
"T2M,2016,27.5,80,16.69,20.57,26.58,33.36,35.66,36.19,29.75,28.64,27.93,25.25,20.06,16.34,26.42"
"T2M,2016,28,76.875,15.81,18.48,25.02,31.89,35.92,36.64,30.89,28.43,28.66,26.53,21.15,17.52,26.41"
"T2M,2016,28,77.5,15.97,18.99,25.58,32.44,35.89,36.69,30.87,28.58,28.64,26.52,20.67,17.08,26.49"
"T2M,2016,28,78.125,16.1,19.4,25.73,32.56,35.97,36.8,30.6,28.48,28.14,26.24,20.53,16.87,26.45"
"T2M,2016,28,78.75,16.17,19.83,25.91,32.75,35.38,36.38,30.19,28.44,27.69,25.48,20.08,16.39,26.22"
"T2M,2016,28,79.375,16.13,20.11,26.11,32.9,34.82,36.06,29.85,28.5,27.58,24.32,19.46,15.99,25.99"
"T2M,2016,28,80,16.25,20.41,26.35,33.13,34.71,35.64,29.69,28.62,27.7,24.31,19.35,16.19,26.03"
"T2M,2016,28.5,76.875,15.48,18.17,24.66,31.71,35.87,36.7,31.21,28.82,28.84,26.43,20.78,17.08,26.31"
"T2M,2016,28.5,77.5,15.62,18.58,24.93,32.08,35.54,36.47,30.93,28.7,28.81,26.2,20.5,16.76,26.26"
"T2M,2016,28.5,78.125,15.69,19.02,25.14,32.3,35.54,36.6,30.67,28.61,28.44,25.92,20.35,16.66,26.24"
"T2M,2016,28.5,78.75,15.69,19.44,25.38,32.5,34.62,35.93,30.24,28.57,27.9,25.29,19.83,16.28,25.97"
"T2M,2016,28.5,79.375,15.7,19.81,25.79,32.67,33.89,35.33,29.72,28.57,27.41,24.52,19.5,16.08,25.75"
"T2M,2016,28.5,80,15.89,20.11,26.06,32.71,33.58,34.68,29.29,28.61,27.42,24.52,19.54,16.34,25.73"
"T2M,2016,29,76.875,15.06,17.9,24.43,31.47,35.7,36.65,31.59,29.22,29.16,26.26,20.52,16.62,26.22"
"T2M,2016,29,77.5,15.26,18.17,24.55,31.7,35.27,36.25,31.08,28.82,28.88,25.8,20.4,16.47,26.05"
"T2M,2016,29,78.125,15.38,18.75,24.89,31.99,35.06,36.28,30.91,28.96,28.95,25.69,20.21,16.35,26.12"
"T2M,2016,29,78.75,15.61,19.25,25.11,32.06,34.05,35.37,30.32,28.88,28.41,25.63,19.95,16.31,25.91"
"T2M,2016,29,79.375,15.58,19.51,25.06,31.6,32.79,33.93,28.91,28.23,27.11,25.06,20.15,16.61,25.38"
"T2M,2016,29,80,15.39,19.23,24.5,30.81,31.54,32.27,27.91,27.73,26.46,24.18,19.64,16.53,24.68"
"T2M,2017,26,76.875,16.06,20.24,25.56,32.81,36.67,35.44,30.96,29.48,29.24,27.36,21.72,17.94,26.96"
"T2M,2017,26,77.5,16.24,20.11,25.31,32.86,36.35,34.68,29.84,28.67,28.08,26.84,21.47,17.54,26.5"
"T2M,2017,26,78.125,16.31,20.3,25.57,33.27,37,35.71,30.88,29.58,29.03,27.62,21.34,17.84,27.04"
"T2M,2017,26,78.75,16.49,20.54,26.1,33.78,37.54,36.38,30.89,29.8,29.11,27.84,21.63,17.93,27.34"
"T2M,2017,26,79.375,16.54,20.78,26.41,34.05,37.84,37.01,30.61,30.01,29.88,28.49,22.11,18.49,27.68"
"T2M,2017,26,80,16.36,20.68,26.43,34.16,37.94,37.23,30.01,29.84,30.04,28.53,21.99,18.47,27.64"
"T2M,2017,26.5,76.875,15.58,19.47,25.02,32.72,36.36,35.31,30.95,29.75,29.23,27.17,21.49,17.38,26.7"
"T2M,2017,26.5,77.5,15.97,19.71,25.44,33.37,36.89,35.95,31.32,30.03,28.96,27.23,21.03,17.23,26.93"
"T2M,2017,26.5,78.125,16.08,19.84,25.56,33.55,37.31,36.44,31.7,30.46,29.55,27.85,21.23,17.65,27.27"
"T2M,2017,26.5,78.75,16.08,19.93,25.76,33.74,37.45,36.67,31.33,30.27,29.31,27.82,21.17,17.61,27.26"
"T2M,2017,26.5,79.375,16.07,20.08,25.88,33.86,37.5,36.88,30.83,30.23,29.75,28.05,21.23,17.88,27.35"
"T2M,2017,26.5,80,16.09,20.07,25.89,33.86,37.44,36.72,29.85,29.65,29.41,27.87,21.18,17.89,27.16"
"T2M,2017,27,76.875,15.42,19.13,24.88,32.94,36.44,35.62,31.79,30.76,29.92,27.28,21.35,17.29,26.9"
"T2M,2017,27,77.5,15.45,19.16,25,33.21,36.78,36.15,31.84,30.94,29.87,27.03,20.68,16.99,26.93"
"T2M,2017,27,78.125,15.67,19.34,25.13,33.46,37.09,36.44,31.97,31,30.13,27.61,21.04,17.4,27.19"
"T2M,2017,27,78.75,15.69,19.45,25.23,33.59,37.12,36.41,31.37,30.51,29.77,27.56,20.87,17.57,27.1"
"T2M,2017,27,79.375,15.8,19.56,25.37,33.65,37.1,36.22,30.61,30.11,29.63,27.57,20.91,17.64,27.01"
"T2M,2017,27,80,15.93,19.65,25.47,33.65,36.97,36.06,29.75,29.5,28.9,27.12,20.78,17.51,26.77"
"T2M,2017,27.5,76.875,15,18.56,24.36,32.65,36.12,35.14,31.8,31.09,29.78,26.98,20.74,16.96,26.6"
"T2M,2017,27.5,77.5,15.14,18.65,24.59,33.04,36.64,35.78,31.78,31.35,29.83,26.56,20.23,16.52,26.68"
"T2M,2017,27.5,78.125,15.23,18.76,24.6,33.07,36.7,35.78,31.64,31.06,29.94,27.06,20.5,16.88,26.77"
"T2M,2017,27.5,78.75,15.28,18.95,24.72,33.15,36.73,35.67,30.94,30.43,29.58,26.95,20.21,16.98,26.63"
"T2M,2017,27.5,79.375,15.37,19.19,24.92,33.31,36.74,35.69,30.36,29.73,29.18,26.88,20.29,17.1,26.56"
"T2M,2017,27.5,80,15.41,19.28,24.96,33.35,36.48,35.63,29.71,29.2,28.57,26.64,20.24,17.05,26.38"
"T2M,2017,28,76.875,14.46,17.87,23.8,32,35.7,34.52,31.29,30.8,29.16,26.58,20.05,16.2,26.04"
"T2M,2017,28,77.5,14.75,18.21,24.19,32.62,36.31,35.13,31.13,30.86,29.13,26.07,19.56,15.83,26.15"
"T2M,2017,28,78.125,14.84,18.37,24.22,32.61,36.3,35.11,30.93,30.61,29.07,26.28,19.6,16.24,26.18"
"T2M,2017,28,78.75,14.92,18.69,24.37,32.82,36.37,35.21,30.18,29.83,28.77,26.08,19.64,16.31,26.1"
"T2M,2017,28,79.375,14.88,18.79,24.47,32.92,36.3,35.47,29.82,29.06,28.32,25.85,19.82,16.51,26.02"
"T2M,2017,28,80,15.23,19.16,24.62,32.87,35.95,35.39,29.74,28.83,28.09,25.75,19.95,16.82,26.03"
"T2M,2017,28.5,76.875,14.11,17.46,23.54,31.57,35.67,34.66,31.32,30.81,28.84,26.43,19.48,15.51,25.78"
"T2M,2017,28.5,77.5,14.38,17.92,23.81,32.1,35.95,34.95,30.97,30.49,28.53,25.78,19.2,15.36,25.79"
"T2M,2017,28.5,78.125,14.57,18.21,24,32.13,35.96,34.98,30.8,30.27,28.24,25.73,19.26,15.69,25.82"
"T2M,2017,28.5,78.75,14.75,18.67,24.19,32.34,35.87,35.11,30.29,29.6,28.12,25.36,19.33,15.99,25.8"
"T2M,2017,28.5,79.375,14.91,18.9,24.21,32.42,35.7,35.3,29.74,28.81,27.78,25.12,19.5,16.46,25.74"
"T2M,2017,28.5,80,15.3,19.15,24.07,32.1,35.31,34.95,29.38,28.41,27.67,25.33,19.83,16.84,25.7"
"T2M,2017,29,76.875,13.75,17.14,23.22,31.36,35.65,34.8,31.65,31.05,28.57,26.23,19.08,15.07,25.63"
"T2M,2017,29,77.5,14.11,17.78,23.56,31.62,35.71,34.92,31.2,30.53,28.05,25.43,18.92,15.09,25.58"
"T2M,2017,29,78.125,14.32,18.06,23.75,31.69,35.63,35,31.22,30.51,27.92,25.54,19.11,15.54,25.69"
"T2M,2017,29,78.75,14.74,18.73,23.9,31.84,35.27,34.82,30.57,29.71,28.09,25.66,19.63,16.16,25.76"
"T2M,2017,29,79.375,15.17,19.06,23.56,31.37,34.15,33.93,29.2,28.16,27.3,25.09,19.83,16.95,25.31"
"T2M,2017,29,80,15.47,19.15,23.06,30.12,32.72,32.57,28.23,27.27,26.58,24.27,19.45,16.9,24.65"
"T2M,2018,26,76.875,17.47,21.81,26.92,32.57,36.53,36.02,30.69,27.91,25.56,24.49,20.9,15.64,26.38"
"T2M,2018,26,77.5,17.11,21.58,26.79,32.11,36.04,35.64,29.96,27.41,25.36,24.26,20.74,15.87,26.07"
"T2M,2018,26,78.125,17.08,21.85,27.22,32.54,36.55,36.36,30.93,27.93,25.91,24.61,21.05,15.63,26.47"
"T2M,2018,26,78.75,17,22.05,27.77,32.91,36.86,36.98,31.47,28.23,26.32,24.39,20.13,15.39,26.62"
"T2M,2018,26,79.375,17.05,22.17,28.17,33.17,37.02,37.21,31.87,28.45,26.69,24.81,20.42,15.64,26.89"
"T2M,2018,26,80,16.93,22.25,28.32,33.17,36.94,37.24,32.1,28.54,26.93,24.89,20.54,15.65,26.96"
"T2M,2018,26.5,76.875,16.51,21.03,26.44,31.86,35.9,36.11,30.44,27.78,25.59,24.18,20.49,15.09,25.95"
"T2M,2018,26.5,77.5,16.49,21.35,26.95,32.32,36.1,36.64,31.03,28.09,25.97,24.3,20.59,15.34,26.26"
"T2M,2018,26.5,78.125,16.41,21.52,27.24,32.53,36.38,37.07,31.32,28.36,26.31,24.37,20.61,15.35,26.46"
"T2M,2018,26.5,78.75,16.26,21.6,27.47,32.65,36.31,37.22,31.65,28.45,26.48,24.37,20.23,15.27,26.5"
"T2M,2018,26.5,79.375,16.26,21.66,27.64,32.74,36.45,37.27,31.92,28.39,26.66,24.57,20.35,15.37,26.61"
"T2M,2018,26.5,80,16.14,21.71,27.66,32.66,36.46,37.15,31.92,28.31,26.82,24.6,20.23,15.29,26.58"
"T2M,2018,27,76.875,16.08,20.85,26.44,31.57,35.76,36.7,30.95,28.2,26.13,24.94,20.9,15.27,26.15"
